2026-07-30 21:30:33,535 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 21:30:51,774 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 21:37:21,389 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 21:37:36,907 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 21:39:13,444 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 21:39:13,910 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-30 21:39:21,602 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 21:39:22,182 | ERROR   | pipeline | Failed processing C:\Users\DELL\ps2\environments\images\car.jpg: 
2026-07-30 21:42:52,991 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 21:42:53,986 | INFO    | pipeline | Extracting ResNet features for PCA fitting on 1 images
2026-07-30 21:42:55,069 | INFO    | models.pca_reducer | PCA fitted: 2048 -> 1 dims, nan% variance explained
2026-07-30 21:42:55,074 | INFO    | models.pca_reducer | Saved PCA state to C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
2026-07-30 21:42:55,934 | INFO    | pipeline | Requesting lighting profile from Groq for car.jpg
2026-07-30 21:42:57,103 | INFO    | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-30 21:42:57,161 | INFO    | pipeline | Wrote scene descriptor -> C:\Users\DELL\ps2\outputs\scenes\car_scene.json
2026-07-30 21:43:12,171 | INFO    | models.feature_extractor | Loaded resnet50 (weights=IMAGENET1K_V2) on cpu
2026-07-30 21:43:13,593 | INFO    | models.pca_reducer | Loaded PCA state from C:\Users\DELL\ps2\models\artifacts\pca_state.joblib
